27/04/2015,11/05/2015,18/05/2015,01/06/2015,15/06/2015,22/06/2015,29/06/2015,06/07/2015,20/07/2015,27/07/2015,03/08/2015,17/08/2015,24/08/2015,07/09/2015
8H,3A,4H,5A,6H,7A,2H,8A,3H,4A,5H,6A,7H,2A,,,,,
7H,8A,3H,4H,5A,6H,1A,7A,8H,3A,4A,5H,6A,1H,,,,,
6H,1H,2A,8A,4A,5H,7A,6A,3A,2H,8H,4H,5A,7H,,,,,
5H,7H,1A,2A,3H,8A,6A,5A,7A,1H,2H,3A,8H,6H,,,,,
4A,6H,7A,1H,2H,3A,8H,4H,6A,7H,1A,2A,3H,8A,,,,,
3A,5A,8H,7H,1A,2A,4H,3H,5H,8A,7A,1H,2H,4A,,,,,
2A,4A,5H,6A,8H,1H,3H,2H,4H,5A,6H,8A,1A,3A,,,,,
1A,2H,6A,3H,7A,4H,5A,1H,2A,6H,3A,7H,4A,5H,,,,,
