14/03/2017,21/03/2017,28/03/2017,04/04/2017,11/04/2017,18/04/2017,25/04/2017,02/05/2017,09/05/2017,16/05/2017,23/05/2017,30/05/2017,06/06/2017,13/06/2017,20/06/2017,27/06/2017,04/07/2017,11/07/2017,18/07/2017,25/07/2017,01/08/2017,08/08/2017,15/08/2017
2H,7H,8A,6H,,5A,4A,3H,,2A,8H,6A,4H,,5H,,,7A,,3A,,,
1A,6H,7A,5H,,8A,3A,4H,,1H,7H,5A,3H,,8H,,,6A,,4A,,,
4A,5H,6A,8H,,7A,2H,1A,,4H,6H,8A,2A,,7H,,,5A,,1H,,,
3H,8H,5A,7H,,6A,1H,2A,,3A,5H,7A,1A,,6H,,,8A,,2H,,,
8H,3A,4H,2A,,1H,6A,7H,,8A,4A,2H,6H,,1A,,,3H,,7A,,,
7A,2A,3H,1A,,4H,5H,8A,,7H,3A,1H,5A,,4A,,,2H,,8H,,,
6H,1A,2H,4A,,3H,8H,5A,,6A,2A,4H,8A,,3A,,,1H,,5H,,,
5A,4A,1H,3A,,2H,7A,6H,,5H,1A,3H,7H,,2A,,,4H,,6A,,,
,,,,,,,,,,,,,,,,,,,,,,
