5/3/19,12/3/19,19/3/19,26/3/19,2/4/19,9/4/19,16/4/19,23/4/19,30/4/19,7/5/19,14/5/19,21/5/19,28/5/19,4/6/19,11/6/19,18/6/19,25/6/19,2/7/19,9/7/19,16/7/19,23/7/19,30/7/19,6/8/19,13/8/19
7H,8A,        KO CUP,6H,5A,4A,        KO CUP,3H,2H,,7A,8H,MIXED DOUBLES,6A,4H,HOUSE CHAMP CHAMP,5H,LADIES & MENS DOUBLES PRE LIM,3A,LADIES & MENS SINGLES PRE LIM,,2A,KO SHIELD QUARTER AND FINAL,KO CUP QUARTER AND FINAL
6H,7A,,5H,8H,3A,,4H,1A,,6A,7H,,5A,3H,,8A,,4A,,,1H,,
5H,6A,,8H,7A,2H,,1A,4A,,5A,6H,,8A,2A,,7H,,1H,,,4H,,
8H,5A,,7H,6A,1H,,2A,3H,,8A,5H,,7A,1A,,6H,,2H,,,3A,,
3A,4H,,2A,1H,6A,,7H,8H,,3H,4A,,2H,6H,,1A,,7A,,,8A,,
2A,3H,,1A,4H,5H,,8A,7A,,2H,3A,,1H,5A,,4A,,8H,,,7H,,
1A,2H,,4A,3H,8H,,5A,6H,,1H,2A,,4H,8A,,3A,,5H,,,6A,,
4A,1H,,3A,2A,7A,,6H,5A,,4H,1A,,3H,7H,,2H,,6A,,,5H,,
,,,,,,,,,,,,,,,,,,,,,,,
