13/03/2018,20/03/2018,27/03/2018,03/04/2018,10/04/2018,17/04/2018,24/04/2018,01/05/2018,08/05/2018,15/05/2018,22/05/2018,29/05/2018,05/06/2018,12/06/2018,19/06/2018,26/06/2018,03/07/2018,10/07/2018,17/07/2018,24/07/2018,31/07/2018,07/08/2018,14/08/2018
7H,8A,        KO CUP,6H,5A,4A,        KO CUP,3H,2H,7A,8H,4H,6A,MIXED DOUBLES,KO CUP AND SHIELD,HOUSE CHAMP CHAMP,5H,LADIES & MENS DOUBLES PRE LIM,3A,LADIES & MENS SINGLES PRE LIM,2A,Semi and Final KO CUP,Over 50s COMP
6H,7A,,5H,8H,3A,,4H,1A,6A,7H,3H,5A,,,,8A,,4A,,1H,,
5H,6A,,8H,7A,2H,,1A,4A,5A,6H,2A,8A,,,,7H,,1H,,4H,,
8H,5A,,7H,6A,1H,,2A,3H,8A,5H,1A,7A,,,,6H,,2H,,3A,,
3A,4H,,2A,1H,6A,,7H,8H,3H,4A,6H,2H,,,,1A,,7A,,8A,,
2A,3H,,1A,4H,5H,,8A,7A,2H,3A,5A,1H,,,,4A,,8H,,7H,,
1A,2H,,4A,3H,8H,,5A,6H,1H,2A,8A,4H,,,,3A,,5H,,6A,,
4A,1H,,3A,2A,7A,,6H,5A,4H,1A,7H,3H,,,,2H,,6A,,5H,,
,,,,,,,,,,,,,,,,,,,,,,
