13/09/2016,20/09/2016,27/09/2016,04/10/2016,11/10/2016,18/10/2016,25/10/2016,01/11/2016,08/11/2016,15/11/2016,22/11/2016,29/11/2016,06/12/2016,13/12/2016,20/12/2016,03/01/2017,10/01/2017,17/01/2017,24/01/2017,31/01/2017,07/02/2017,14/02/2017,21/02/2017,
7H,8A,        KO CUP,6H,5A,4A,        KO CUP,3H,LADIES & MENS DOUBLES PRE LIM,2A,8H,MIXED DOUBLES,6A,4H,KO CUP AND SHIELD,HOUSE CHAMP CHAMP,5H,7A,3A,LADIES & MENS SINGLES PRE LIM,2H,Semi and Final KO CUP,DES CUMMINS CUP,
6H,7A,,5H,8A,3A,,4H,,1H,7H,,5A,3H,,,8H,6A,4A,,1A,,,
5H,6A,,8H,7A,2H,,1A,,4H,6H,,8A,2A,,,7H,5A,1H,,4A,,,
8H,5A,,7H,6A,1H,,2A,,3A,5H,,7A,1A,,,6H,8A,2H,,3H,,,
3A,4H,,2A,1H,6A,,7H,,8A,4A,,2H,6H,,,1A,3H,7A,,8H,,,
2A,3H,,1A,4H,5H,,8A,,7H,3A,,1H,5A,,,4A,2H,8H,,7A,,,
1A,2H,,4A,3H,8H,,5A,,6A,2A,,4H,8A,,,3A,1H,5H,,6H,,,
4A,1H,,3A,2H,7A,,6H,,5H,1A,,3H,7H,,,2A,4H,6A,,5A,,,
,,,,,,,,,,,,,,,,,,,,,,,
